date,open,high,low,close,volume,open_interest,settle,symbol
20221122,13215.0,13510.0,13190.0,13425.0,438490,396833,13350.0,CF0
20221123,13425.0,13470.0,13335.0,13410.0,296564,397015,13400.0,CF0
20221124,13365.0,13485.0,13315.0,13465.0,262783,396792,13415.0,CF0
20221125,13450.0,13490.0,13330.0,13465.0,285546,391001,13420.0,CF0
20221128,13495.0,13500.0,13095.0,13170.0,600525,367275,13265.0,CF0
20221129,13170.0,13355.0,13150.0,13330.0,307761,356896,13255.0,CF0
20221130,13360.0,13385.0,13170.0,13210.0,283266,340717,13275.0,CF0
20221201,13290.0,13485.0,13290.0,13475.0,343569,314573,13400.0,CF0
20221202,13400.0,13480.0,13370.0,13455.0,424597,579651,13430.0,CF0
20221205,13460.0,13535.0,13385.0,13455.0,444966,611815,13460.0,CF0
20221206,13455.0,13620.0,13405.0,13620.0,414834,647227,13505.0,CF0
20221207,13600.0,13750.0,13525.0,13620.0,725891,679263,13660.0,CF0
20221208,13610.0,13715.0,13520.0,13690.0,407931,706098,13625.0,CF0
20221209,13710.0,13850.0,13655.0,13845.0,610769,749295,13775.0,CF0
20221212,13850.0,14100.0,13780.0,13795.0,835023,746068,13945.0,CF0
20221213,13800.0,13925.0,13665.0,13840.0,531943,739792,13800.0,CF0
20221214,13880.0,13945.0,13780.0,13900.0,457617,746561,13875.0,CF0
20221215,13860.0,14060.0,13845.0,14030.0,553509,755266,13945.0,CF0
20221216,13990.0,14320.0,13990.0,14145.0,888775,758774,14170.0,CF0
20221219,14100.0,14140.0,13680.0,13775.0,839330,727577,13865.0,CF0
20221220,13820.0,13950.0,13760.0,13880.0,468380,724321,13865.0,CF0
20221221,13900.0,14150.0,13865.0,14075.0,517397,726088,14010.0,CF0
20221222,14080.0,14150.0,13820.0,13880.0,554240,721808,14015.0,CF0
20221223,13920.0,13940.0,13760.0,13910.0,483034,711494,13850.0,CF0
20221226,13940.0,14095.0,13845.0,14025.0,465988,711129,13980.0,CF0
20221227,14025.0,14260.0,13995.0,14220.0,537406,737313,14170.0,CF0
20221228,14200.0,14290.0,14115.0,14230.0,504878,754391,14220.0,CF0
20221229,14200.0,14250.0,14065.0,14180.0,425942,749613,14150.0,CF0
20221230,14175.0,14275.0,14135.0,14260.0,394281,750623,14210.0,CF0
20230103,14290.0,14395.0,13985.0,14360.0,542465,765094,14225.0,CF0
20230104,14355.0,14365.0,14205.0,14305.0,394950,758115,14305.0,CF0
20230105,14315.0,14355.0,14175.0,14275.0,438649,756762,14270.0,CF0
20230106,14305.0,14370.0,14245.0,14360.0,373103,764132,14315.0,CF0
20230109,14360.0,14445.0,14290.0,14390.0,431802,769170,14365.0,CF0
20230110,14400.0,14480.0,14370.0,14445.0,413783,771970,14430.0,CF0
20230111,14460.0,14475.0,14410.0,14420.0,280367,768736,14450.0,CF0
20230112,14440.0,14450.0,14245.0,14370.0,471266,752574,14355.0,CF0
20230113,14395.0,14425.0,14215.0,14405.0,402848,743420,14345.0,CF0
20230116,14375.0,14410.0,14265.0,14290.0,301491,734480,14315.0,CF0
20230117,14280.0,14405.0,14245.0,14375.0,258257,729568,14345.0,CF0
20230118,14415.0,14745.0,14395.0,14705.0,512623,763105,14585.0,CF0
20230119,14710.0,14915.0,14675.0,14810.0,377365,749569,14785.0,CF0
20230120,14790.0,14930.0,14780.0,14850.0,234358,726245,14850.0,CF0
20230130,15050.0,15120.0,14855.0,14885.0,305804,726414,15005.0,CF0
20230131,14905.0,15180.0,14900.0,15100.0,411235,755917,15060.0,CF0
20230201,15080.0,15230.0,15015.0,15190.0,362960,776930,15150.0,CF0
20230202,15190.0,15275.0,14980.0,15105.0,529925,770592,15150.0,CF0
20230203,15100.0,15135.0,14905.0,15045.0,498128,759432,15000.0,CF0
20230206,15050.0,15090.0,14720.0,14925.0,558093,739587,14900.0,CF0
20230207,14935.0,15030.0,14815.0,14915.0,405017,734013,14925.0,CF0
20230208,14915.0,14920.0,14735.0,14780.0,413430,733247,14810.0,CF0
20230209,14800.0,14860.0,14730.0,14830.0,325953,732494,14805.0,CF0
20230210,14835.0,14860.0,14435.0,14480.0,676831,715533,14620.0,CF0
20230213,14500.0,14520.0,14300.0,14315.0,447361,717102,14410.0,CF0
20230214,14365.0,14365.0,14085.0,14310.0,589056,716771,14220.0,CF0
20230215,14300.0,14460.0,14260.0,14350.0,478806,702807,14365.0,CF0
20230216,14350.0,14395.0,14250.0,14350.0,359154,704398,14330.0,CF0
20230217,14330.0,14330.0,14155.0,14170.0,363439,710014,14240.0,CF0
20230220,14150.0,14390.0,14130.0,14370.0,450166,707604,14265.0,CF0
20230221,14355.0,14480.0,14355.0,14460.0,387893,706489,14430.0,CF0
20230222,14470.0,14540.0,14390.0,14465.0,428107,705918,14470.0,CF0
20230223,14455.0,14520.0,14430.0,14445.0,326897,703644,14475.0,CF0
20230224,14490.0,14530.0,14260.0,14285.0,524747,709613,14380.0,CF0
20230227,14280.0,14360.0,14215.0,14290.0,371793,713951,14295.0,CF0
20230228,14265.0,14370.0,14245.0,14365.0,284030,710558,14295.0,CF0
20230301,14385.0,14475.0,14315.0,14445.0,354316,695101,14405.0,CF0
20230302,14465.0,14735.0,14440.0,14710.0,473627,675428,14560.0,CF0
20230303,14710.0,14770.0,14655.0,14750.0,392645,666059,14715.0,CF0
20230306,14705.0,14780.0,14610.0,14690.0,369154,663199,14690.0,CF0
20230307,14670.0,14730.0,14530.0,14665.0,342401,659057,14650.0,CF0
20230308,14660.0,14700.0,14575.0,14665.0,315153,642590,14650.0,CF0
20230309,14650.0,14750.0,14475.0,14485.0,452096,632777,14620.0,CF0
20230310,14530.0,14590.0,14275.0,14340.0,566060,610771,14435.0,CF0
20230313,14330.0,14375.0,14155.0,14235.0,486928,604192,14270.0,CF0
20230314,14150.0,14395.0,14100.0,14235.0,424559,587343,14260.0,CF0
20230315,14265.0,14355.0,14245.0,14275.0,266903,581110,14295.0,CF0
20230316,14160.0,14200.0,13810.0,13830.0,643418,547936,14025.0,CF0
20230317,13860.0,13960.0,13715.0,13900.0,458615,549606,13845.0,CF0
20230320,13850.0,14240.0,13805.0,13980.0,552197,530416,14010.0,CF0
20230321,14020.0,14080.0,13860.0,13930.0,338397,535814,13970.0,CF0
20230322,14050.0,14065.0,13915.0,13990.0,328378,532783,13995.0,CF0
20230323,14040.0,14055.0,13930.0,13965.0,267621,530270,13990.0,CF0
20230324,13970.0,14005.0,13825.0,13895.0,392160,529342,13920.0,CF0
20230327,13810.0,13930.0,13740.0,13910.0,330974,517275,13850.0,CF0
20230328,13980.0,14225.0,13965.0,14205.0,418530,477873,14135.0,CF0
20230329,14210.0,14485.0,14210.0,14380.0,445773,443592,14355.0,CF0
20230330,14445.0,14450.0,14255.0,14325.0,300927,433212,14335.0,CF0
20230331,14355.0,14370.0,14265.0,14325.0,234539,421134,14320.0,CF0
20230403,14310.0,14430.0,14245.0,14335.0,329825,401616,14345.0,CF0
20230404,14340.0,14395.0,14305.0,14365.0,206065,381628,14350.0,CF0
20230406,14290.0,14505.0,14280.0,14485.0,249753,371134,14400.0,CF0
20230407,14485.0,14715.0,14475.0,14680.0,328941,339572,14590.0,CF0
20230410,14900.0,14900.0,14755.0,14810.0,367097,504870,14835.0,CF0
20230411,14795.0,14825.0,14615.0,14790.0,357626,521130,14715.0,CF0
20230412,14770.0,14845.0,14675.0,14730.0,355306,532940,14760.0,CF0
20230413,14775.0,14880.0,14660.0,14875.0,356386,556640,14765.0,CF0
20230414,14885.0,15025.0,14765.0,14795.0,564301,571858,14930.0,CF0
20230417,14840.0,15170.0,14835.0,15125.0,517784,601078,15010.0,CF0
20230418,15105.0,15165.0,15045.0,15145.0,359588,621373,15105.0,CF0
20230419,15150.0,15230.0,15100.0,15160.0,413602,629288,15155.0,CF0
20230420,15150.0,15215.0,15085.0,15175.0,445291,633568,15150.0,CF0
20230421,15080.0,15100.0,14780.0,14855.0,697293,602579,14940.0,CF0
20230424,14860.0,14945.0,14740.0,14895.0,448096,603389,14855.0,CF0
20230425,14915.0,15315.0,14900.0,15220.0,843605,629747,15190.0,CF0
20230426,15065.0,15420.0,15030.0,15325.0,871160,664742,15235.0,CF0
20230427,15275.0,15355.0,15205.0,15225.0,556423,653322,15275.0,CF0
20230428,15285.0,15510.0,15245.0,15485.0,646722,651647,15370.0,CF0
20230504,15360.0,15775.0,15360.0,15715.0,585643,681409,15620.0,CF0
20230505,15750.0,16000.0,15750.0,15995.0,712503,708430,15855.0,CF0
20230508,16050.0,16065.0,15705.0,15920.0,945633,703938,15880.0,CF0
20230509,15900.0,15950.0,15535.0,15600.0,761379,691860,15760.0,CF0
20230510,15600.0,15830.0,15565.0,15685.0,690027,690438,15695.0,CF0
20230511,15710.0,15740.0,15565.0,15620.0,572858,676436,15645.0,CF0
20230512,15600.0,15605.0,15405.0,15440.0,612377,647617,15480.0,CF0
20230515,15500.0,15780.0,15380.0,15760.0,755245,652480,15600.0,CF0
20230516,15795.0,15900.0,15655.0,15705.0,660428,644153,15790.0,CF0
20230517,15705.0,15865.0,15675.0,15720.0,513645,641497,15765.0,CF0
20230518,15770.0,15955.0,15720.0,15855.0,569758,637518,15805.0,CF0
20230519,15805.0,16040.0,15690.0,15995.0,688357,647982,15865.0,CF0
20230522,16005.0,16340.0,15965.0,16125.0,926366,649926,16165.0,CF0
20230523,16095.0,16280.0,16055.0,16135.0,628702,656420,16150.0,CF0
20230524,16155.0,16210.0,15720.0,15725.0,766213,628077,15995.0,CF0
20230525,15700.0,15770.0,15420.0,15565.0,908282,592878,15610.0,CF0
20230526,15570.0,15590.0,15305.0,15475.0,958786,554679,15435.0,CF0
20230529,15470.0,15745.0,15395.0,15645.0,559911,540818,15600.0,CF0
20230530,15640.0,15650.0,15385.0,15505.0,537801,543890,15535.0,CF0
20230531,15585.0,15615.0,15450.0,15500.0,465540,537566,15530.0,CF0
20230601,15450.0,16465.0,15420.0,16400.0,1471431,586728,16025.0,CF0
20230602,16325.0,16545.0,16150.0,16340.0,1363825,588464,16375.0,CF0
20230605,16340.0,17015.0,16315.0,16760.0,2054877,620919,16725.0,CF0
20230606,16730.0,17060.0,16685.0,16860.0,1200125,641118,16860.0,CF0
20230607,16805.0,16955.0,16570.0,16815.0,904044,636564,16765.0,CF0
20230608,16770.0,16935.0,16720.0,16865.0,600543,637103,16835.0,CF0
20230609,16945.0,17070.0,16665.0,16790.0,746945,628246,16830.0,CF0
20230612,16765.0,16830.0,16580.0,16755.0,639852,616378,16695.0,CF0
20230613,16765.0,16905.0,16595.0,16870.0,595256,618228,16755.0,CF0
20230614,16875.0,16935.0,16715.0,16830.0,439499,600250,16805.0,CF0
20230615,16810.0,17000.0,16725.0,16770.0,699880,600647,16860.0,CF0
20230616,16800.0,17020.0,16700.0,16795.0,556484,599211,16860.0,CF0
20230619,16880.0,16895.0,16375.0,16475.0,711857,577443,16650.0,CF0
20230620,16495.0,16735.0,16420.0,16700.0,436817,569392,16615.0,CF0
20230621,16675.0,16690.0,16320.0,16350.0,483973,528534,16495.0,CF0
20230626,16220.0,16465.0,16200.0,16265.0,283623,521733,16310.0,CF0
20230627,16245.0,16400.0,16120.0,16315.0,398386,513652,16245.0,CF0
20230628,16255.0,16365.0,16210.0,16330.0,265186,504550,16295.0,CF0
20230629,16290.0,16390.0,16230.0,16280.0,231180,492572,16310.0,CF0
20230630,16300.0,16785.0,16240.0,16660.0,560230,486972,16575.0,CF0
20230703,16655.0,16860.0,16645.0,16785.0,285415,477913,16760.0,CF0
20230704,16800.0,16865.0,16425.0,16505.0,367859,465623,16635.0,CF0
20230705,16550.0,16630.0,16480.0,16555.0,209337,462418,16555.0,CF0
20230706,16585.0,16615.0,16465.0,16575.0,211306,458859,16555.0,CF0
20230707,16540.0,16790.0,16520.0,16680.0,336399,454505,16685.0,CF0
20230710,16700.0,16730.0,16605.0,16665.0,210760,454263,16670.0,CF0
20230711,16610.0,17105.0,16555.0,17100.0,455376,485037,16790.0,CF0
20230712,17065.0,17285.0,17020.0,17240.0,600757,490213,17155.0,CF0
20230713,17215.0,17295.0,17105.0,17225.0,288511,480101,17210.0,CF0
20230714,17150.0,17330.0,17075.0,17125.0,311801,471721,17185.0,CF0
20230717,17170.0,17225.0,16830.0,16905.0,438548,448724,16975.0,CF0
20230718,16950.0,17285.0,16910.0,17180.0,342548,443056,17135.0,CF0
20230719,16995.0,17190.0,16830.0,17160.0,521249,428041,16985.0,CF0
20230720,17195.0,17300.0,17105.0,17145.0,311723,415172,17175.0,CF0
20230721,17220.0,17440.0,17150.0,17300.0,513534,471626,17320.0,CF0
20230724,17100.0,17200.0,16930.0,17055.0,643049,471225,17085.0,CF0
20230725,17150.0,17230.0,17025.0,17160.0,443411,482371,17110.0,CF0
20230726,17175.0,17325.0,17135.0,17220.0,514564,493886,17220.0,CF0
20230727,17240.0,17410.0,17200.0,17265.0,464745,508069,17285.0,CF0
20230728,17210.0,17310.0,17155.0,17240.0,460355,515405,17220.0,CF0
20230731,17265.0,17510.0,17200.0,17440.0,622199,555871,17345.0,CF0
20230801,17425.0,17530.0,17390.0,17465.0,409101,569701,17455.0,CF0
20230802,17450.0,17525.0,17330.0,17465.0,458358,578696,17445.0,CF0
20230803,17440.0,17480.0,17160.0,17175.0,644386,558630,17305.0,CF0
20230804,17190.0,17225.0,16980.0,17140.0,531527,550243,17120.0,CF0
20230807,17135.0,17415.0,17075.0,17360.0,550639,564602,17275.0,CF0
20230808,17350.0,17410.0,17100.0,17110.0,448921,563829,17300.0,CF0
20230809,17065.0,17290.0,17030.0,17150.0,527869,569746,17160.0,CF0
20230810,17155.0,17255.0,17100.0,17160.0,401603,569383,17170.0,CF0
20230811,17215.0,17305.0,17135.0,17230.0,490828,557813,17210.0,CF0
20230814,17230.0,17380.0,17060.0,17115.0,675484,553748,17190.0,CF0
20230815,17130.0,17220.0,17090.0,17165.0,331928,547990,17150.0,CF0
20230816,17165.0,17175.0,16820.0,16870.0,605005,585070,17010.0,CF0
20230817,16885.0,16950.0,16585.0,16650.0,638419,585215,16785.0,CF0
20230818,16705.0,16980.0,16625.0,16955.0,672666,563092,16800.0,CF0
20230821,16905.0,17035.0,16805.0,16945.0,475277,550021,16920.0,CF0
20230822,16980.0,16985.0,16825.0,16935.0,331891,548073,16910.0,CF0
20230823,16925.0,17120.0,16905.0,17055.0,403319,544662,17010.0,CF0
20230824,17050.0,17300.0,17005.0,17230.0,417996,557063,17185.0,CF0
20230825,17200.0,17435.0,17165.0,17420.0,399623,582191,17295.0,CF0
20230828,17450.0,17775.0,17410.0,17545.0,734973,619545,17590.0,CF0
20230829,17500.0,17575.0,17380.0,17460.0,385653,615997,17490.0,CF0
20230830,17500.0,17630.0,17485.0,17610.0,333217,626479,17575.0,CF0
20230831,17590.0,17700.0,17530.0,17660.0,353916,642207,17620.0,CF0
20230901,17700.0,17905.0,17670.0,17790.0,500643,667266,17785.0,CF0
20230904,17890.0,17900.0,17345.0,17420.0,700663,637956,17635.0,CF0
20230905,17405.0,17585.0,17385.0,17530.0,345110,633806,17500.0,CF0
20230906,17545.0,17785.0,17520.0,17650.0,397314,643375,17685.0,CF0
20230907,17665.0,17735.0,17045.0,17220.0,714516,608560,17355.0,CF0
20230908,17190.0,17225.0,16925.0,16955.0,451727,596950,17100.0,CF0
20230911,16970.0,17220.0,16970.0,17185.0,291905,589597,17130.0,CF0
20230912,17185.0,17405.0,17180.0,17350.0,308088,591945,17315.0,CF0
20230913,17360.0,17375.0,16910.0,17030.0,556952,588013,17120.0,CF0
20230914,17060.0,17230.0,17025.0,17125.0,315234,583811,17120.0,CF0
20230915,17175.0,17290.0,17095.0,17285.0,295895,580165,17200.0,CF0
20230918,17220.0,17250.0,17035.0,17195.0,319536,578531,17155.0,CF0
20230919,17195.0,17480.0,17120.0,17370.0,522984,596157,17330.0,CF0
20230920,17375.0,17400.0,17135.0,17165.0,324402,586715,17255.0,CF0
20230921,17180.0,17300.0,17090.0,17110.0,318478,589462,17200.0,CF0
20230922,17090.0,17340.0,17025.0,17145.0,417411,576804,17175.0,CF0
20230925,17195.0,17275.0,17100.0,17205.0,311505,570834,17180.0,CF0
20230926,17225.0,17385.0,17145.0,17215.0,404340,571226,17260.0,CF0
20230927,17210.0,17525.0,17210.0,17430.0,359578,591076,17340.0,CF0
20230928,17410.0,17675.0,17390.0,17675.0,344042,599491,17520.0,CF0
20231009,17650.0,17815.0,17535.0,17600.0,305088,620077,17665.0,CF0
20231010,17645.0,17650.0,17110.0,17120.0,476276,599245,17360.0,CF0
20231011,17100.0,17195.0,16820.0,16955.0,487780,594750,17045.0,CF0
20231012,16900.0,16980.0,16770.0,16970.0,346164,593341,16880.0,CF0
20231013,17000.0,17090.0,16825.0,17040.0,356796,595813,16945.0,CF0
20231016,17085.0,17165.0,16955.0,16990.0,336191,607885,17055.0,CF0
20231017,16990.0,16990.0,16630.0,16695.0,506113,632924,16795.0,CF0
20231018,16660.0,16720.0,16360.0,16485.0,549964,624507,16525.0,CF0
20231019,16400.0,16580.0,16340.0,16445.0,332276,622697,16470.0,CF0
20231020,16360.0,16470.0,16075.0,16105.0,469162,613869,16305.0,CF0
20231023,16030.0,16095.0,15785.0,15910.0,503122,616991,15925.0,CF0
20231024,16000.0,16170.0,15935.0,16105.0,463511,604949,16035.0,CF0
20231025,16115.0,16280.0,16065.0,16145.0,331399,604375,16175.0,CF0
20231026,16195.0,16210.0,15995.0,16150.0,308759,604521,16095.0,CF0
20231027,16165.0,16330.0,16045.0,16115.0,412888,623912,16175.0,CF0
20231030,16150.0,16155.0,16020.0,16125.0,290975,626725,16095.0,CF0
20231031,16140.0,16170.0,15585.0,15785.0,621271,655447,15800.0,CF0
20231101,15790.0,15830.0,15475.0,15530.0,479685,676849,15635.0,CF0
20231102,15555.0,15730.0,15505.0,15720.0,422713,671283,15640.0,CF0
20231103,15785.0,15925.0,15685.0,15860.0,375993,657869,15810.0,CF0
20231106,15810.0,15875.0,15575.0,15850.0,399754,654309,15770.0,CF0
20231107,15800.0,15880.0,15685.0,15750.0,335732,649649,15790.0,CF0
20231108,15700.0,15850.0,15615.0,15835.0,351498,643963,15735.0,CF0
20231109,15745.0,15890.0,15665.0,15790.0,337848,638254,15770.0,CF0
20231110,15810.0,15910.0,15680.0,15710.0,396266,639043,15780.0,CF0
20231113,15680.0,15775.0,15485.0,15635.0,475405,629433,15625.0,CF0
20231114,15635.0,15950.0,15630.0,15840.0,393905,614095,15775.0,CF0
20231115,15875.0,15895.0,15640.0,15690.0,337243,611785,15790.0,CF0
20231116,15720.0,15770.0,15615.0,15730.0,256193,599450,15695.0,CF0
20231117,15725.0,15805.0,15565.0,15685.0,326531,585833,15695.0,CF0
20231120,15695.0,15720.0,15560.0,15565.0,228600,594779,15625.0,CF0
20231121,15555.0,15600.0,15130.0,15160.0,570845,608033,15320.0,CF0
20231122,15200.0,15575.0,15145.0,15375.0,509558,571430,15380.0,CF0
20231123,15350.0,15450.0,15275.0,15325.0,283000,554637,15360.0,CF0
20231124,15305.0,15335.0,15070.0,15205.0,358635,548418,15175.0,CF0
20231127,15205.0,15245.0,15035.0,15055.0,236113,529954,15135.0,CF0
20231128,15015.0,15175.0,14840.0,15055.0,348505,490144,14950.0,CF0
20231129,15090.0,15185.0,15015.0,15145.0,214074,467024,15090.0,CF0
20231130,15200.0,15315.0,15150.0,15265.0,183036,443426,15215.0,CF0
20231201,14915.0,15070.0,14740.0,14930.0,381601,498845,14930.0,CF0
20231204,14905.0,14995.0,14785.0,14870.0,293580,516896,14905.0,CF0
20231205,14880.0,14995.0,14825.0,14945.0,327082,526701,14925.0,CF0
20231206,14920.0,15185.0,14870.0,15145.0,407345,538337,15020.0,CF0
20231207,15130.0,15220.0,14965.0,15205.0,344905,534645,15100.0,CF0
20231208,15190.0,15430.0,15170.0,15380.0,391037,545797,15320.0,CF0
20231211,15350.0,15450.0,15235.0,15405.0,350169,552388,15350.0,CF0
20231212,15370.0,15415.0,15305.0,15360.0,245921,558979,15365.0,CF0
20231213,15310.0,15330.0,15195.0,15285.0,364461,565996,15275.0,CF0
20231214,15285.0,15430.0,15285.0,15355.0,314269,577083,15355.0,CF0
20231215,15380.0,15415.0,15260.0,15350.0,315731,582606,15335.0,CF0
20231218,15360.0,15365.0,15125.0,15190.0,352093,583782,15240.0,CF0
20231219,15190.0,15295.0,15135.0,15185.0,314712,594540,15220.0,CF0
20231220,15145.0,15285.0,15050.0,15240.0,399343,603637,15145.0,CF0
20231221,15270.0,15300.0,15170.0,15260.0,240007,603282,15235.0,CF0
20231222,15230.0,15480.0,15125.0,15425.0,515957,630515,15310.0,CF0
20231225,15390.0,15520.0,15345.0,15405.0,371597,647820,15430.0,CF0
20231226,15430.0,15480.0,15375.0,15435.0,229033,647482,15425.0,CF0
20231227,15455.0,15530.0,15385.0,15520.0,277514,672092,15450.0,CF0
20231228,15520.0,15585.0,15475.0,15530.0,314880,681590,15535.0,CF0
20231229,15550.0,15635.0,15435.0,15455.0,340681,675665,15550.0,CF0
20240102,15510.0,15630.0,15480.0,15600.0,188206,672453,15555.0,CF0
20240103,15615.0,15670.0,15520.0,15645.0,273981,661036,15595.0,CF0
20240104,15645.0,15725.0,15600.0,15670.0,274292,661258,15665.0,CF0
20240105,15700.0,15735.0,15540.0,15615.0,245409,648974,15630.0,CF0
20240108,15615.0,15710.0,15480.0,15500.0,335132,633875,15575.0,CF0
20240109,15480.0,15565.0,15315.0,15500.0,462891,604735,15430.0,CF0
20240110,15500.0,15605.0,15455.0,15485.0,280471,587784,15530.0,CF0
20240111,15495.0,15630.0,15390.0,15580.0,313686,587130,15500.0,CF0
20240112,15590.0,15645.0,15505.0,15520.0,264615,586210,15585.0,CF0
20240115,15570.0,15585.0,15405.0,15435.0,276969,581060,15485.0,CF0
20240116,15420.0,15600.0,15420.0,15600.0,245035,586271,15525.0,CF0
20240117,15555.0,15615.0,15535.0,15540.0,181156,583258,15570.0,CF0
20240118,15555.0,15900.0,15545.0,15890.0,577598,628405,15770.0,CF0
20240119,15855.0,15950.0,15800.0,15925.0,310875,636573,15880.0,CF0
20240122,15920.0,16080.0,15860.0,15910.0,459127,617981,15975.0,CF0
20240123,15970.0,16015.0,15920.0,15955.0,201197,613732,15965.0,CF0
20240124,15920.0,16010.0,15830.0,15975.0,276741,603842,15930.0,CF0
20240125,16000.0,16070.0,15965.0,15990.0,221313,609019,16020.0,CF0
20240126,15960.0,16090.0,15920.0,15980.0,250100,598750,16000.0,CF0
20240129,15990.0,16170.0,15875.0,16125.0,332043,610631,16020.0,CF0
20240131,16075.0,16160.0,15930.0,16085.0,305164,593778,16045.0,CF0
20240201,16060.0,16085.0,15970.0,16025.0,210593,585777,16035.0,CF0
20240202,16000.0,16100.0,15920.0,15990.0,303595,574096,16010.0,CF0
20240205,15970.0,16080.0,15955.0,16025.0,240747,564829,16015.0,CF0
20240206,16045.0,16115.0,15990.0,16055.0,211573,567435,16045.0,CF0
20240207,16070.0,16100.0,15950.0,15985.0,206362,543623,16020.0,CF0
20240208,15990.0,16165.0,15990.0,16025.0,207012,532022,16075.0,CF0
20240219,16355.0,16395.0,16260.0,16270.0,222328,559756,16330.0,CF0
20240220,16275.0,16320.0,16135.0,16245.0,283859,562775,16240.0,CF0
20240221,16260.0,16275.0,16140.0,16225.0,209889,564307,16215.0,CF0
20240222,16230.0,16300.0,16165.0,16295.0,203730,570285,16235.0,CF0
20240223,16310.0,16355.0,16275.0,16320.0,195079,577024,16320.0,CF0
20240226,16295.0,16295.0,16150.0,16195.0,259710,568992,16225.0,CF0
20240227,16220.0,16300.0,16205.0,16280.0,188917,573192,16255.0,CF0
20240228,16365.0,16450.0,16275.0,16370.0,406727,589769,16375.0,CF0
20240229,16375.0,16410.0,16060.0,16110.0,464177,561330,16200.0,CF0
20240304,16115.0,16130.0,15910.0,15985.0,306886,523540,15995.0,CF0
20240305,16005.0,16075.0,15940.0,16025.0,195848,522154,16010.0,CF0
20240306,15980.0,16090.0,15955.0,16055.0,167471,521341,16010.0,CF0
20240307,16100.0,16170.0,16045.0,16065.0,193479,511675,16095.0,CF0
20240308,16065.0,16240.0,16050.0,16200.0,255904,514748,16150.0,CF0
20240311,16180.0,16190.0,15925.0,15980.0,302459,518847,16035.0,CF0
20240312,15985.0,16055.0,15865.0,15930.0,263356,518212,15965.0,CF0
